--- Startup times for process: Primary (or UI client) ---

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
077.388  000.137  000.074: require('cmp.utils.keymap')
077.389  000.198  000.061: require('cmp.utils.feedkeys')
077.611  000.082  000.082: require('cmp.config.mapping')
077.670  000.058  000.058: require('cmp.utils.cache')
077.828  000.078  000.078: require('cmp.config.compare')
077.829  000.158  000.080: require('cmp.config.default')
077.840  000.385  000.087: require('cmp.config')
077.846  000.456  000.072: require('cmp.utils.async')
077.967  000.060  000.060: require('cmp.utils.pattern')
077.969  000.122  000.062: require('cmp.context')
078.263  000.135  000.135: require('cmp.utils.snippet')
078.330  000.066  000.066: require('cmp.matcher')
078.336  000.298  000.097: require('cmp.entry')
078.340  000.371  000.073: require('cmp.source')
078.488  000.079  000.079: require('cmp.utils.event')
078.696  000.080  000.080: require('cmp.utils.options')
078.699  000.154  000.074: require('cmp.utils.window')
078.700  000.212  000.058: require('cmp.view.docs_view')
078.793  000.092  000.092: require('cmp.view.custom_entries_view')
078.877  000.083  000.083: require('cmp.view.wildmenu_entries_view')
078.951  000.074  000.074: require('cmp.view.native_entries_view')
079.024  000.072  000.072: require('cmp.view.ghost_text_view')
079.030  000.689  000.077: require('cmp.view')
079.300  002.328  000.339: require('cmp.core')
079.411  000.061  000.061: require('cmp.config.sources')
079.471  000.059  000.059: require('cmp.config.window')
079.561  002.656  000.208: require('cmp')
080.246  000.002  000.002: sourcing nvim_exec2() called at /Users/mattjennings/.config/nvim/init.lua:0
080.257  000.001  000.001: sourcing nvim_exec2() called at /Users/mattjennings/.config/nvim/init.lua:0
080.780  000.016  000.016: sourcing /Users/mattjennings/.local/share/nvim/lazy/plenary.nvim/plugin/plenary.vim
080.781  000.044  000.028: sourcing nvim_exec2() called at /Users/mattjennings/.config/nvim/init.lua:0
080.784  000.001  000.001: sourcing nvim_exec2() called at /Users/mattjennings/.config/nvim/init.lua:0
080.791  000.001  000.001: sourcing nvim_exec2() called at /Users/mattjennings/.config/nvim/init.lua:0
081.489  000.058  000.058: require('vim.treesitter.language')
081.543  000.054  000.054: require('vim.func')
081.601  000.056  000.056: require('vim.func._memoize')
081.663  000.366  000.199: require('vim.treesitter.query')
081.723  000.059  000.059: require('vim.treesitter._range')
081.731  000.598  000.173: require('vim.treesitter.languagetree')
081.734  000.767  000.169: require('vim.treesitter')
081.737  000.895  000.128: sourcing /Users/mattjennings/.local/share/nvim/lazy/CopilotChat.nvim/plugin/CopilotChat.lua
081.738  000.920  000.025: sourcing nvim_exec2() called at /Users/mattjennings/.config/nvim/init.lua:0
081.744  000.001  000.001: sourcing nvim_exec2() called at /Users/mattjennings/.config/nvim/init.lua:0
081.748  000.001  000.001: sourcing nvim_exec2() called at /Users/mattjennings/.config/nvim/init.lua:0
082.713  000.053  000.053: require('plenary.tbl')
082.716  000.110  000.058: require('plenary.vararg.rotate')
082.717  000.171  000.061: require('plenary.vararg')
082.769  000.051  000.051: require('plenary.errors')
082.825  000.055  000.055: require('plenary.functional')
082.827  000.345  000.067: require('plenary.async.async')
083.051  000.054  000.054: require('plenary.async.structs')
083.054  000.117  000.063: require('plenary.async.control')
083.057  000.178  000.061: require('plenary.async.util')
083.058  000.231  000.053: require('plenary.async.tests')
083.059  000.635  000.059: require('plenary.async')
083.254  000.054  000.054: require('plenary.bit')
083.272  000.146  000.092: require('plenary.path')
083.355  000.295  000.149: require('plenary.log')
083.597  000.053  000.053: require('CopilotChat.notify')
083.839  000.049  000.049: require('plenary.compat')
083.843  000.116  000.067: require('plenary.job')
083.846  000.180  000.064: require('plenary.curl')
084.765  000.918  000.918: require('plenary.scandir')
085.501  000.736  000.736: require('plenary.filetype')
085.508  001.910  000.075: require('CopilotChat.utils')
085.726  002.233  000.270: require('CopilotChat.tiktoken')
085.731  002.307  000.074: require('CopilotChat.client')
085.734  002.378  000.071: require('CopilotChat.context')
085.740  003.967  000.659: require('CopilotChat')
085.854  000.054  000.054: require('CopilotChat.select')
085.982  000.057  000.057: require('vim.version')
087.377  001.518  001.461: require('CopilotChat.config.providers')
087.452  000.074  000.074: require('CopilotChat.config.contexts')
087.522  000.070  000.070: require('CopilotChat.config.prompts')
087.599  000.076  000.076: require('CopilotChat.config.mappings')
087.600  001.859  000.068: require('CopilotChat.config')
087.877  000.063  000.063: require('CopilotChat.ui.overlay')
087.929  000.052  000.052: require('CopilotChat.ui.spinner')
087.932  000.203  000.089: require('CopilotChat.ui.chat')
088.081  000.028  000.028: sourcing /opt/homebrew/Cellar/neovim/0.11.0/share/nvim/runtime/plugin/editorconfig.lua
088.083  000.071  000.044: sourcing nvim_exec2() called at /Users/mattjennings/.config/nvim/init.lua:0
088.203  000.081  000.081: sourcing /opt/homebrew/Cellar/neovim/0.11.0/share/nvim/runtime/plugin/gzip.vim
088.204  000.107  000.027: sourcing nvim_exec2() called at /Users/mattjennings/.config/nvim/init.lua:0
088.292  000.030  000.030: sourcing /opt/homebrew/Cellar/neovim/0.11.0/share/nvim/runtime/plugin/man.lua
088.294  000.056  000.026: sourcing nvim_exec2() called at /Users/mattjennings/.config/nvim/init.lua:0
088.797  000.107  000.107: sourcing /opt/homebrew/Cellar/neovim/0.11.0/share/nvim/runtime/pack/dist/opt/matchit/plugin/matchit.vim
088.805  000.485  000.379: sourcing /opt/homebrew/Cellar/neovim/0.11.0/share/nvim/runtime/plugin/matchit.vim
088.807  000.511  000.026: sourcing nvim_exec2() called at /Users/mattjennings/.config/nvim/init.lua:0
088.906  000.071  000.071: sourcing /opt/homebrew/Cellar/neovim/0.11.0/share/nvim/runtime/plugin/matchparen.vim
088.908  000.098  000.027: sourcing nvim_exec2() called at /Users/mattjennings/.config/nvim/init.lua:0
089.457  000.135  000.135: sourcing /opt/homebrew/Cellar/neovim/0.11.0/share/nvim/runtime/pack/dist/opt/netrw/plugin/netrwPlugin.vim
089.465  000.530  000.395: sourcing /opt/homebrew/Cellar/neovim/0.11.0/share/nvim/runtime/plugin/netrwPlugin.vim
089.466  000.557  000.026: sourcing nvim_exec2() called at /Users/mattjennings/.config/nvim/init.lua:0
089.524  000.026  000.026: sourcing /opt/homebrew/Cellar/neovim/0.11.0/share/nvim/runtime/plugin/osc52.lua
089.526  000.057  000.032: sourcing nvim_exec2() called at /Users/mattjennings/.config/nvim/init.lua:0
089.634  000.072  000.072: sourcing /opt/homebrew/Cellar/neovim/0.11.0/share/nvim/runtime/plugin/rplugin.vim
089.635  000.107  000.035: sourcing nvim_exec2() called at /Users/mattjennings/.config/nvim/init.lua:0
